system:index,Daytime,.geo
222,-1.1321773327112865,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.88076815825883,19.04652981154416]}"
223,-1.1321773327112865,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.88885299581591,19.04652981154416]}"
224,-2.368290696074645,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.93466707530601,19.04652981154416]}"
225,-1.6069066673090404,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.86190353729233,19.043834865691807]}"
226,-1.0942391313520332,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.86729342899704,19.043834865691807]}"
227,-1.394004422959405,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.88076815825883,19.043834865691807]}"
228,-1.7622095077434565,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.9023277250777,19.043834865691807]}"
229,-2.2040031585371267,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.9077176167824,19.043834865691807]}"
230,-2.2040031585371267,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.91580245433948,19.043834865691807]}"
231,-1.0942391313520332,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.86459848314468,19.041139919839438]}"
232,-2.2040031585371267,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.91580245433948,19.041139919839438]}"
233,-2.9916142696481884,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.92388729189656,19.041139919839438]}"
234,-3.0749476029815312,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.92658223774893,19.041139919839438]}"
235,-3.0749476029815312,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.93197212945364,19.041139919839438]}"
236,-2.717389123449415,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84842880803052,19.038444973987083]}"
